Instance,# of Qubits,# of Gate Operations,Execution Time,Calculated Distance,Optimal Distance,Calculated Routes,Optimal Routes
1,0,0,10.7099,24.9878,26.18,"r1: 0, 2, 3, 1, 0 | r2: 0, 0","r1: 0, 1, 2, 0 | r2: 0, 3, 0"
2,0,0,6.6531,26.1817,26.18,"r1: 0, 2, 1, 0 | r2: 0, 3, 0","r1: 0, 1, 2, 0 | r2: 0, 3, 0"
3,0,0,13.7421,50.6965,48.5,"r1: 0, 4, 6, 0 | r2: 0, 3, 5, 0 | r3: 0, 2, 1, 0","r1: 0, 1, 2, 0 | r2: 0, 3, 6, 0 | r3: 0, 4, 5, 0"
4,0,0,42.5149,59.6938,61.85,"r1: 0, 9, 10, 6, 0 | r2: 0, 2, 11, 12, 0 | r3: 0, 1, 7, 8, 0 | r4: 0, 5, 3, 4, 0","r1: 0, 1, 6, 9, 0 | r2: 0, 10, 2, 11, 0 | r3: 0, 5, 3, 4, 0 | r4: 0, 12, 7, 8, 0"
1,0,0,12.2294,24.9878,26.18,"r1: 0, 2, 3, 1, 0 | r2: 0, 0","r1: 0, 1, 2, 0 | r2: 0, 3, 0"
1,0,0,10.8162,23.8708,26.18,"r1: 0, 2, 1, 3, 0 | r2: 0, 0","r1: 0, 1, 2, 0 | r2: 0, 3, 0"
1,0,0,10.3318,24.9878,26.18,"r1: 0, 2, 3, 1, 0 | r2: 0, 0","r1: 0, 1, 2, 0 | r2: 0, 3, 0"
2,0,0,6.9731,26.1817,26.18,"r1: 0, 1, 2, 0 | r2: 0, 3, 0","r1: 0, 1, 2, 0 | r2: 0, 3, 0"
3,0,0,27.3495,50.6965,48.5,"r1: 0, 4, 6, 0 | r2: 0, 3, 5, 0 | r3: 0, 1, 2, 0","r1: 0, 1, 2, 0 | r2: 0, 3, 6, 0 | r3: 0, 4, 5, 0"
4,0,0,50.6275,62.4952,61.85,"r1: 0, 9, 10, 6, 0 | r2: 0, 2, 12, 11, 0 | r3: 0, 8, 7, 1, 0 | r4: 0, 5, 4, 3, 0","r1: 0, 1, 6, 9, 0 | r2: 0, 10, 2, 11, 0 | r3: 0, 5, 3, 4, 0 | r4: 0, 12, 7, 8, 0"
4,0,0,46.7604,59.5355,61.85,"r1: 0, 9, 10, 6, 0 | r2: 0, 2, 11, 12, 0 | r3: 0, 7, 8, 1, 0 | r4: 0, 4, 3, 5, 0","r1: 0, 1, 6, 9, 0 | r2: 0, 10, 2, 11, 0 | r3: 0, 5, 3, 4, 0 | r4: 0, 12, 7, 8, 0"
